"","league_name","home_team_api_id","home_team_short_name","home_team_long_name","Overall","Potential","Stamina","Agility","Aggression"
"1","France Ligue 1",8576,"AJA","AC Ajaccio",747.799340855223,786.444177636089,702.585085013026,715.666838063897,712.56123043623
"2","France Ligue 1",9873,"VAL","Valenciennes FC",773.869506337889,819.590074767281,739.394424638542,715.642986234898,663.180743711626
"3","France Ligue 1",9874,"SOC","FC Sochaux-Montbéliard",753.519714014168,816.133412247778,743.493032030786,743.284987812475,688.678144996297
"4","France Ligue 1",9748,"LYO","Olympique Lyonnais",838.452661678126,876.946815579743,752.187870539218,754.254733891408,736.698775666871
"5","France Ligue 1",8521,"BRE","Stade Brestois 29",756.174743107769,799.964229323308,724.604028822055,704.985,691.221259398496
"6","France Ligue 1",9847,"PSG","Paris Saint-Germain",878.979268096968,913.942293129222,802.280613754788,795.038772450643,763.976048840965
"7","France Ligue 1",8592,"MAR","Olympique de Marseille",823.761874110967,863.957450620563,776.657792157429,769.88838726307,764.082357101459
"8","France Ligue 1",9837,"REI","Stade de Reims",759.180448949915,800.502820218997,729.420490564647,712.547021296557,712.968165735194
"9","France Ligue 1",10249,"MON","Montpellier Hérault SC",786.64751528758,835.818105766334,723.405286353672,756.626645658263,701.237021381779
"10","France Ligue 1",9831,"NIC","OGC Nice",784.380021961258,839.329407688675,748.599091094514,710.339130993593,695.754230894963
"11","France Ligue 1",9853,"ETI","AS Saint-Étienne",820.052748300348,856.840855883572,796.543323147584,728.410833967456,743.103523283287
"12","France Ligue 1",9748,"LYO","Olympique Lyonnais",836.762959150357,873.84863595092,749.108166663557,734.481881518312,744.647865973868
"13","France Ligue 1",8689,"LOR","FC Lorient",773.337650558935,826.460337418,748.875624156545,736.714154614735,734.106836764886
"14","France Ligue 1",9831,"NIC","OGC Nice",776.444211962788,829.809450095828,742.520736229715,711.805314568472,686.066295074035
"15","France Ligue 1",8592,"MAR","Olympique de Marseille",818.431422983147,862.266366933083,781.843427441291,761.886668291728,770.22919702736
"16","France Ligue 1",9827,"BOR","Girondins de Bordeaux",786.354515315129,843.628215783459,732.428158826113,763.720440552154,708.256786965994
"17","France Ligue 1",8481,"NAN","AS Nancy-Lorraine",745.762495837496,805.211642524143,712.756976356976,669.364897602397,658.301456876457
"18","France Ligue 1",9851,"REN","Stade Rennais FC",790.414368105608,853.222624166115,746.721169624635,756.388584020413,671.36934711069
"19","France Ligue 1",8576,"AJA","AC Ajaccio",760.699340855223,804.690010969423,709.438656441598,708.635885682944,716.962420912421
"20","France Ligue 1",10249,"MON","Montpellier Hérault SC",795.468024916113,839.545945777111,730.166441332905,730.252463054187,712.114453933747
"21","France Ligue 1",4087,"ETG","Évian Thonon Gaillard FC",765.788553084219,807.309902142037,734.297955617184,749.00885069765,762.45545944258
"22","France Ligue 1",9847,"PSG","Paris Saint-Germain",850.152992437144,904.072408336595,780.632436125966,821.074428783558,728.716536901292
"23","France Ligue 1",8639,"LIL","LOSC Lille",827.053600797386,881.616353638296,777.425861775675,762.602662646891,706.918641581068
