"","home_team_long_name","league_name","home_team_short_name","home_team_api_id","variable","value"
"1","AC Ajaccio","France Ligue 1","AJA",8576,"Overall",747.799340855223
"2","Valenciennes FC","France Ligue 1","VAL",9873,"Overall",773.869506337889
"3","FC Sochaux-Montbéliard","France Ligue 1","SOC",9874,"Overall",753.519714014168
"4","Olympique Lyonnais","France Ligue 1","LYO",9748,"Overall",838.452661678126
"5","Stade Brestois 29","France Ligue 1","BRE",8521,"Overall",756.174743107769
"6","Paris Saint-Germain","France Ligue 1","PSG",9847,"Overall",878.979268096968
"7","Olympique de Marseille","France Ligue 1","MAR",8592,"Overall",823.761874110967
"8","Stade de Reims","France Ligue 1","REI",9837,"Overall",759.180448949915
"9","Montpellier Hérault SC","France Ligue 1","MON",10249,"Overall",786.64751528758
"10","OGC Nice","France Ligue 1","NIC",9831,"Overall",784.380021961258
"11","AS Saint-Étienne","France Ligue 1","ETI",9853,"Overall",820.052748300348
"12","Olympique Lyonnais","France Ligue 1","LYO",9748,"Overall",836.762959150357
"13","FC Lorient","France Ligue 1","LOR",8689,"Overall",773.337650558935
"14","OGC Nice","France Ligue 1","NIC",9831,"Overall",776.444211962788
"15","Olympique de Marseille","France Ligue 1","MAR",8592,"Overall",818.431422983147
"16","Girondins de Bordeaux","France Ligue 1","BOR",9827,"Overall",786.354515315129
"17","AS Nancy-Lorraine","France Ligue 1","NAN",8481,"Overall",745.762495837496
"18","Stade Rennais FC","France Ligue 1","REN",9851,"Overall",790.414368105608
"19","AC Ajaccio","France Ligue 1","AJA",8576,"Overall",760.699340855223
"20","Montpellier Hérault SC","France Ligue 1","MON",10249,"Overall",795.468024916113
"21","Évian Thonon Gaillard FC","France Ligue 1","ETG",4087,"Overall",765.788553084219
"22","Paris Saint-Germain","France Ligue 1","PSG",9847,"Overall",850.152992437144
"23","LOSC Lille","France Ligue 1","LIL",8639,"Overall",827.053600797386
"24","Toulouse FC","France Ligue 1","TOU",9941,"Overall",776.778279061069
"25","Valenciennes FC","France Ligue 1","VAL",9873,"Overall",777.953117449
"26","Stade Brestois 29","France Ligue 1","BRE",8521,"Overall",742.813753132832
"27","FC Sochaux-Montbéliard","France Ligue 1","SOC",9874,"Overall",738.641023012076
"28","ES Troyes AC","France Ligue 1","TRO",10242,"Overall",733.963867095274
"29","Stade de Reims","France Ligue 1","REI",9837,"Overall",763.101039973099
"30","Levante UD","Spain LIGA BBVA","LEV",8581,"Overall",804.774352461791
"31","Real Valladolid","Spain LIGA BBVA","VAL",10281,"Overall",787.338270061825
"32","Atlético Madrid","Spain LIGA BBVA","AMA",9906,"Overall",871.765572390572
"33","RC Celta de Vigo","Spain LIGA BBVA","CEL",9910,"Overall",789.143846437634
"34","Real Betis Balompié","Spain LIGA BBVA","BET",8603,"Overall",798.883843517593
"35","RC Deportivo de La Coruña","Spain LIGA BBVA","COR",9783,"Overall",802.660977288912
"36","RCD Mallorca","Spain LIGA BBVA","MAL",8661,"Overall",784.356249357797
"37","FC Barcelona","Spain LIGA BBVA","BAR",8634,"Overall",913.545824213123
"38","Sevilla FC","Spain LIGA BBVA","SEV",8302,"Overall",835.603335302933
"39","Athletic Club de Bilbao","Spain LIGA BBVA","BIL",8315,"Overall",836.689144183101
"40","Real Sociedad","Spain LIGA BBVA","SOC",8560,"Overall",828.385645270983
"41","Getafe CF","Spain LIGA BBVA","GET",8305,"Overall",815.302045214051
"42","Málaga CF","Spain LIGA BBVA","MAL",9864,"Overall",842.885718062182
"43","Real Madrid CF","Spain LIGA BBVA","REA",8633,"Overall",915.617052928745
"44","Rayo Vallecano","Spain LIGA BBVA","RAY",8370,"Overall",787.345099587747
"45","Real Zaragoza","Spain LIGA BBVA","ZAR",8394,"Overall",789.64535561904
"46","Valencia CF","Spain LIGA BBVA","VAL",10267,"Overall",849.580470233411
"47","CA Osasuna","Spain LIGA BBVA","OSA",8371,"Overall",781.901932506852
"48","RCD Espanyol","Spain LIGA BBVA","ESP",8558,"Overall",803.704643193064
"49","Borussia Mönchengladbach","Germany 1. Bundesliga","GLA",9788,"Overall",821.549446655495
"50","VfB Stuttgart","Germany 1. Bundesliga","STU",10269,"Overall",806.626548906919
"51","1. FSV Mainz 05","Germany 1. Bundesliga","MAI",9905,"Overall",789.025781984197
"52","SV Werder Bremen","Germany 1. Bundesliga","WBR",8697,"Overall",819.89418584555
"53","Borussia Dortmund","Germany 1. Bundesliga","DOR",9789,"Overall",875.287846563307
"54","SpVgg Greuther Fürth","Germany 1. Bundesliga","GRF",8357,"Overall",750.573166364279
"55","Fortuna Düsseldorf","Germany 1. Bundesliga","FDU",8194,"Overall",757.649294338521
"56","Bayer 04 Leverkusen","Germany 1. Bundesliga","LEV",8178,"Overall",840.714151940102
"57","VfL Wolfsburg","Germany 1. Bundesliga","WOL",8721,"Overall",836.511120800525
"58","Eintracht Frankfurt","Germany 1. Bundesliga","EFR",9810,"Overall",803.056555133145
"59","TSG 1899 Hoffenheim","Germany 1. Bundesliga","HOF",8226,"Overall",795.831653125172
"60","SC Freiburg","Germany 1. Bundesliga","FRE",8358,"Overall",794.252063290601
"61","FC Augsburg","Germany 1. Bundesliga","AUG",8406,"Overall",767.102645183057
"62","FC Schalke 04","Germany 1. Bundesliga","S04",10189,"Overall",840.815416563347
"63","Hamburger SV","Germany 1. Bundesliga","HAM",9790,"Overall",816.970548855331
"64","Hannover 96","Germany 1. Bundesliga","HAN",9904,"Overall",808.630501135501
"65","FC Bayern Munich","Germany 1. Bundesliga","BMU",9823,"Overall",856.71217682026
"66","Eintracht Frankfurt","Germany 1. Bundesliga","EFR",9810,"Overall",799.978656582421
"67","Borussia Mönchengladbach","Germany 1. Bundesliga","GLA",9788,"Overall",815.235135061292
"68","SC Freiburg","Germany 1. Bundesliga","FRE",8358,"Overall",787.438224974224
