"","league_name","match_api_id","home_team_api_id","away_team_api_id","match_score","win_loss","home_team_overall_ratings","home_team_overall_potentials","home_team_overall_staminas","home_team_overall_agilities","home_team_overall_aggressions","away_team_overall_ratings","away_team_overall_potentials","away_team_overall_staminas","away_team_overall_agilities","away_team_overall_aggressions","total_rating_spread","total_potential_spread","total_stamina_spread","total_agility_spread","total_aggression_spread"
"1","England Premier League",1228229,9825,8472,0,"draw",864.734454076531,900.197501557662,766.701087063559,771.222504381456,699.578559545321,815.740191793121,849.887540497472,810.001706742702,730.782871196944,801.901712121254,48.9942622834102,50.3099610601897,-43.3006196791432,40.4396331845112,-102.323152575934
"2","England Premier League",1228230,8668,10260,1,"win",847.879116300366,868.459848901099,808.315815018315,699.337326007326,789.492999084249,892.189939964285,919.326603470374,789.276437133469,814.874053251069,739.656876742506,-44.3108236639184,-50.866754569275,19.0393778848464,-115.536727243743,49.8361223417426
"3","England Premier League",1228231,9879,9850,5,"win",839.706730182352,863.445141782683,762.043338161074,719.889259112303,699.117597061225,764.35821798766,805.275974140386,777.679650713271,666.245261894943,718.22770076417,75.3485121946928,58.1691676422972,-15.6363125521971,53.6439972173592,-19.1101037029447
"4","England Premier League",1228232,8456,8466,1,"win",907.835774993555,936.153822460344,820.056922336842,798.608184446857,724.692633825242,781.118728816931,834.521535066495,777.862290772816,744.98410138848,660.856400311258,126.717046176624,101.632287393849,42.1946315640258,53.6240830583768,63.8362335139841
"5","England Premier League",1228233,10261,8586,1,"win",832.240791798909,870.205681376347,813.800611512646,775.063744219795,739.481113449668,854.509106814631,890.810324074074,824.225048675936,768.999493973768,776.889783469219,-22.2683150157219,-20.6046426977272,-10.4244371632897,6.06425024602663,-37.4086700195512
"6","England Premier League",1228234,10172,10003,-5,"loss",809.605544921029,849.146020717634,782.656944345977,740.808531253693,727.513988735279,804.227850241546,842.429146537842,780.719122383253,769.373647342995,661.011570048309,5.37769467948283,6.71687417979138,1.93782196272377,-28.5651160893026,66.5024186869699
"7","England Premier League",1228235,9798,10194,0,"draw",750.920800051203,795.640371121629,750.092543276116,643.149185092403,707.836942414835,807.788325104015,840.824030146099,825.756185927738,727.436821741477,759.099263278229,-56.8675250528115,-45.1836590244703,-75.6636426516211,-84.2876366490739,-51.2623208633936
"8","England Premier League",1228236,8659,8650,3,"win",809.523009252913,837.240042274475,767.177075265392,679.901408894985,746.732680342385,865.191310763216,900.237125001076,808.074232607404,744.078884970765,743.207684948376,-55.6683015103034,-62.9970827266017,-40.8971573420116,-64.1774760757795,3.52499539400947
"9","England Premier League",1228237,8654,10252,1,"win",797.799966041457,821.359616006232,792.239506808963,634.340859391096,804.289440141942,810.991563611509,849.313370029729,785.75519509476,736.105893299535,763.045126192246,-13.1915975700521,-27.9537540234971,6.48431171420259,-101.765033908438,41.2443139496963
"10","England Premier League",1228238,8528,8455,-2,"loss",797.964034309509,834.012510018975,777.532087525837,702.622300592128,703.371983808622,892.473242672312,922.333146367151,801.951242393085,760.600675429965,761.392535165306,-94.5092083628033,-88.3206363481752,-24.4191548672479,-57.9783748378368,-58.0205513566839
"11","England Premier League",1229196,9879,8668,0,"draw",836.645184288633,858.01485192761,754.590971011316,692.764428194428,684.990978703737,851.706616300366,876.996515567766,807.315100732601,754.358278388278,766.999546703297,-15.0614320117336,-18.9816636401551,-52.7241297212847,-61.5938501938501,-82.0085679995594
